Jurisdiction,Subarea_ID,Subarea,Factor
Bellevue,1,North Bellevue,0.9
Bellevue,2,Bridle Trails,0.9
Bellevue,3,Downtown,1.25
Bellevue,4,Wilburton,0.9
Bellevue,5,Crossroads,0.9
Bellevue,6,Northeast Bellevue,0.9
Bellevue,7,South Bellevue,0.9
Bellevue,8,Richards Valley,0.9
Bellevue,9,East Bellevue,0.9
Bellevue,10,Eastgate,0.9
Bellevue,11,Southeast Bellevue,0.9
Bellevue,12,Bel-Red Northup,0.9
Bellevue,13,Factoria,0.9
Bellevue,14,Newport Hills,0.9
Kirkland,15,Bridle Trails,1
Kirkland,16,South Rose Hill,1
Kirkland,17,Norkirk,1
Kirkland,18,Highlands,1
Kirkland,19,North Rose Hill,1
Kirkland,20,Totem Lake,1
Kirkland,21,Central Houghton,1
Kirkland,22,Kingsgate,1
Kirkland,23,North Juanita,1
Kirkland,24,Finn Hill,1
Kirkland,25,Lakeview,1
Kirkland,26,Market,1
Kirkland,27,South Juanita,1
Kirkland,28,Moss Bay,1
Kirkland,29,Everest,1
Redmond,30,Idylwood,1
Redmond,31,Overlake,1
Redmond,32,Grass Lawn,1
Redmond,33,SE Redmond,1
Redmond,34,Bear Creek,1
Redmond,35,Downtown,1
Redmond,36,Education Hill,1
Redmond,37,Sammamish Valley,1
Redmond,38,Willows / Rose Hill,1
Redmond,39,North Redmond,1
Redmond,40,English Hill,1
Fringe,41,Fringe KC,1
Fringe,42,Fringe KC,1
Fringe,43,Fringe KC,1
Fringe,44,Fringe KC,1
Fringe,45,Fringe KC,1
Fringe,46,Fringe KC,1
Fringe,47,Fringe KC,1
Fringe,48,Fringe KC,1
Fringe,49,Fringe KC,1
Fringe,50,Fringe KC,1
